age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
48,4,159466,15,2,6,0,4,1,0,0,40,39,0
47,4,299853,5,2,10,0,4,1,0,0,60,39,1
61,0,74373,1,6,0,3,4,0,0,0,10,39,0
45,2,285776,13,2,9,0,4,1,0,0,40,13,0
53,4,187822,9,2,3,0,4,1,7441,0,60,39,1
19,4,424133,15,4,6,3,4,1,0,0,20,39,0
51,6,131291,15,4,10,1,4,0,0,0,37,39,0
41,4,170812,11,2,8,0,2,1,0,0,40,14,0
57,4,142571,11,0,8,3,4,0,0,0,40,39,0
17,4,268808,15,4,1,1,4,1,0,0,16,11,0
22,4,165244,11,4,9,0,4,1,0,0,40,39,0
61,4,107338,2,6,8,3,3,0,0,0,36,39,0
24,4,179035,11,4,12,3,4,1,0,0,35,39,0
43,4,231747,11,2,3,0,4,1,0,0,50,39,0
37,4,166709,9,2,1,0,4,1,0,0,40,39,0
49,4,129922,11,2,8,0,2,1,0,0,31,39,0
43,4,230544,15,0,1,4,4,0,0,0,20,39,0
58,4,176919,8,2,3,0,4,1,0,0,40,39,0
66,6,37388,7,0,4,4,4,0,14763,0,49,39,1
37,7,180423,9,4,8,1,4,0,0,0,44,39,0
24,4,53366,11,4,1,4,4,0,0,0,40,39,0
26,4,32578,1,4,1,1,2,0,0,0,40,39,0
45,4,153939,11,4,7,3,2,1,0,0,40,14,0
30,4,88424,9,4,6,1,4,1,0,0,40,39,0
27,4,188335,11,4,3,1,4,1,0,1850,47,39,0
37,4,260150,8,2,4,0,4,1,0,0,40,39,1
26,4,57141,11,2,3,0,4,1,0,0,50,39,0
63,4,188821,9,2,11,0,4,1,0,0,40,39,1
33,2,105463,9,2,1,0,2,0,0,0,40,39,1
47,2,202143,11,2,1,0,4,1,0,0,40,39,0
44,7,203509,11,2,4,0,4,1,0,0,40,39,0
59,4,94822,11,4,3,1,3,1,0,0,40,33,0
31,4,185538,15,2,12,0,4,1,0,0,74,39,1
28,4,148893,0,4,6,1,4,1,0,0,40,39,0
35,4,180067,8,2,6,0,4,1,0,0,40,39,0
47,5,285736,7,6,4,4,4,1,0,0,58,11,0
23,4,163619,11,4,8,3,4,0,0,0,29,39,0
