age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
38,4,183138,11,0,4,4,4,0,2718,0,30,39,0
30,4,297624,2,4,8,3,2,0,0,0,40,39,0
59,4,293017,9,0,12,1,4,1,0,0,51,39,0
29,2,209409,9,6,10,1,4,0,0,0,20,39,0
55,6,126167,15,2,8,0,4,1,2992,0,40,34,0
73,0,149377,1,6,0,4,4,0,0,0,24,39,0
18,4,174335,15,4,12,3,4,0,2805,0,23,21,0
42,4,196188,11,4,8,3,4,1,0,0,30,39,0
30,4,188629,11,2,6,0,4,1,0,0,40,39,0
28,4,192939,11,4,3,3,4,1,0,0,40,39,0
44,4,188861,12,0,10,1,4,1,0,0,40,39,1
37,4,182397,11,2,4,0,4,1,0,0,40,39,0
32,4,73023,15,4,1,3,2,1,0,0,18,39,0
50,4,115663,9,4,12,3,4,0,0,0,12,39,0
74,4,188173,11,0,9,4,4,0,0,0,12,39,0
46,4,117282,7,2,1,5,4,0,7435,0,40,39,1
29,6,103655,9,4,8,3,4,0,2718,0,30,39,0
63,4,430626,0,5,6,2,4,1,0,0,40,39,0
60,4,258571,15,2,1,0,4,1,7451,0,40,39,1
59,4,180952,0,4,8,2,4,0,0,0,30,39,0
48,4,236167,9,4,12,3,4,1,0,0,49,39,0
19,4,184893,11,4,3,3,4,1,0,0,40,39,0
40,4,341399,11,2,4,0,4,1,0,0,53,39,0
35,4,99413,11,2,6,0,4,1,0,0,21,39,0
33,4,87762,12,4,4,1,4,0,0,0,40,39,0
58,4,122624,15,2,4,0,4,0,0,0,40,39,0
24,4,193821,13,4,8,2,4,0,0,0,40,39,0
23,7,177699,11,4,8,3,4,1,0,0,44,39,0
46,4,283221,15,2,3,0,4,1,7529,0,60,39,1
23,4,186193,14,2,10,0,4,1,0,2116,21,20,0
45,6,179673,12,2,12,0,1,1,0,0,50,39,1
50,1,232860,9,2,11,0,4,1,0,0,40,39,1
58,4,204315,11,4,14,1,4,1,0,0,40,39,0
37,4,248413,15,4,9,3,4,0,0,0,30,39,0
48,4,152686,7,2,4,0,4,1,0,0,40,39,0
60,1,156076,15,4,8,1,4,0,0,1858,50,39,0
39,4,295283,11,5,7,3,4,0,0,0,40,39,0
65,7,32090,11,2,6,0,4,1,0,0,50,39,0
61,4,97093,11,2,7,0,4,1,0,0,35,39,0
56,4,117973,11,4,4,2,4,0,0,0,35,39,0
74,2,166305,11,2,1,0,4,1,0,0,30,39,1
49,4,46521,7,2,5,0,2,1,0,0,40,39,1
45,4,169631,9,4,4,1,2,1,0,0,40,39,0
44,4,387133,15,5,12,3,2,0,4760,0,31,39,0
48,4,142467,9,4,8,3,4,1,0,0,40,39,0
59,2,147746,12,6,10,4,4,0,0,0,40,34,0
33,4,156620,9,5,10,1,4,1,0,0,50,39,0
37,1,75289,15,2,4,0,4,1,0,0,40,39,1
21,4,136516,11,2,8,0,4,1,0,0,40,39,0
35,4,218722,15,4,8,3,2,1,0,0,40,39,0
38,4,114253,11,4,8,3,4,1,0,0,47,39,0
31,0,44643,9,4,0,3,4,1,0,0,21,39,0
48,4,438416,15,2,6,0,0,1,0,0,22,39,0
39,4,105253,5,2,7,0,2,1,0,0,40,39,1
54,4,161852,8,4,10,1,4,0,0,0,44,39,1
29,2,29497,15,2,10,0,4,1,0,0,40,39,0
80,4,58202,0,6,1,2,4,0,0,0,40,39,0
60,4,152484,0,4,14,2,4,0,0,0,32,39,0
39,4,123414,15,4,12,4,4,0,38981,0,14,39,0
23,4,244636,9,2,4,0,4,1,0,0,34,39,0
19,0,237890,15,4,0,3,4,1,0,0,21,39,0
55,4,170623,15,2,13,0,4,1,0,0,40,39,1
58,6,165573,9,2,3,0,4,1,0,0,40,11,0
61,2,179401,11,2,0,5,0,0,0,0,25,39,0
44,4,146879,9,4,4,1,4,0,0,0,40,39,1
27,4,217892,5,4,6,1,4,0,0,0,8,39,0
